month,foreign,rate
Apr,BRA Real,0.358619314918
Aug,BRA Real,0.36322478367
Dec,BRA Real,0.353615286474
Feb,BRA Real,0.356153393596
Jan,BRA Real,0.354891594376
Jul,BRA Real,0.362122477045
Jun,BRA Real,0.360985315356
Mar,BRA Real,0.357397133663
May,BRA Real,0.359816498368
Nov,BRA Real,0.352328061187
Oct,BRA Real,0.351033540533
Sep,BRA Real,0.349735367056
Apr,SPA Euro,1.21897998761
Aug,SPA Euro,1.23024141719
Dec,SPA Euro,1.20674398799
Feb,SPA Euro,1.21295024324
Jan,SPA Euro,1.20986485414
Jul,SPA Euro,1.22754602415
Jun,SPA Euro,1.22476540246
Mar,SPA Euro,1.21599147355
May,SPA Euro,1.2219073763
Nov,SPA Euro,1.20359642632
Oct,SPA Euro,1.2004310258
Sep,SPA Euro,1.19725669329
