month,grove,price
Apr,ARZ,0.732228111978
Aug,ARZ,0.671113773123
Dec,ARZ,0.696709121945
Feb,ARZ,0.687042357127
Jan,ARZ,0.736756346803
Jul,ARZ,0.683166007331
Jun,ARZ,0.714935813954
Mar,ARZ,0.720545001288
May,ARZ,0.702282987929
Nov,ARZ,0.778821060621
Oct,ARZ,0.741186227296
Sep,ARZ,0.741886686783
Apr,BRA,2.057287184
Aug,BRA,2.09277772069
Dec,BRA,2.05383133054
Feb,BRA,2.0680904901
Jan,BRA,2.0804877615
Jul,BRA,2.07661659479
Jun,BRA,2.05783574939
Mar,BRA,2.09631623983
May,BRA,2.08117977142
Nov,BRA,2.10703036547
Oct,BRA,2.02522061229
Sep,BRA,2.09398833275
Apr,CAL,0.755599272615
Aug,CAL,0.638377368994
Dec,CAL,0.722986098227
Feb,CAL,0.646592360059
Jan,CAL,1.1
Jul,CAL,0.635172917777
Jun,CAL,0.647551227453
Mar,CAL,0.685600909476
May,CAL,0.683754216845
Nov,CAL,0.765016683826
Oct,CAL,0.706398885327
Sep,CAL,0.691208702248
Apr,FLA,0.619504301113
Aug,FLA,0.602456949196
Dec,FLA,0.698086397217
Feb,FLA,0.598074179955
Jan,FLA,0.707241127695
Jul,FLA,0.72374090107
Jun,FLA,0.711026222228
Mar,FLA,0.645060780814
May,FLA,0.564884581017
Nov,FLA,0.634296298565
Oct,FLA,0.67306361198
Sep,FLA,0.677413356498
Apr,SPA,0.654184132814
Aug,SPA,0.680004793406
Dec,SPA,0.65839009881
Feb,SPA,0.651765888929
Jan,SPA,0.695537042618
Jul,SPA,0.608255422115
Jun,SPA,0.684273523092
Mar,SPA,0.673820316792
May,SPA,0.617261385918
Nov,SPA,0.670652377605
Oct,SPA,0.617299407721
Sep,SPA,0.660533356667
Apr,TEX,0.711400855185
Aug,TEX,0.735183452856
Dec,TEX,0.7750663807
Feb,TEX,0.747685329128
Jan,TEX,0.767793822375
Jul,TEX,0.71092183472
Jun,TEX,0.726802939849
Mar,TEX,0.824674073433
May,TEX,0.759502607055
Nov,TEX,0.829875823573
Oct,TEX,0.740803612302
Sep,TEX,0.747606579029
