month,grove,price
Apr,ARZ,
Aug,ARZ,
Dec,ARZ,
Feb,ARZ,
Jan,ARZ,
Jul,ARZ,
Jun,ARZ,
Mar,ARZ,
May,ARZ,
Nov,ARZ,
Oct,ARZ,
Sep,ARZ,
Apr,BRA,
Aug,BRA,
Dec,BRA,
Feb,BRA,
Jan,BRA,
Jul,BRA,
Jun,BRA,
Mar,BRA,
May,BRA,
Nov,BRA,
Oct,BRA,
Sep,BRA,
Apr,CAL,
Aug,CAL,
Dec,CAL,
Feb,CAL,
Jan,CAL,
Jul,CAL,
Jun,CAL,
Mar,CAL,
May,CAL,
Nov,CAL,
Oct,CAL,
Sep,CAL,
Apr,FLA,
Aug,FLA,
Dec,FLA,
Feb,FLA,
Jan,FLA,
Jul,FLA,
Jun,FLA,
Mar,FLA,
May,FLA,
Nov,FLA,
Oct,FLA,
Sep,FLA,
Apr,SPA,
Aug,SPA,
Dec,SPA,
Feb,SPA,
Jan,SPA,
Jul,SPA,
Jun,SPA,
Mar,SPA,
May,SPA,
Nov,SPA,
Oct,SPA,
Sep,SPA,
Apr,TEX,
Aug,TEX,
Dec,TEX,
Feb,TEX,
Jan,TEX,
Jul,TEX,
Jun,TEX,
Mar,TEX,
May,TEX,
Nov,TEX,
Oct,TEX,
Sep,TEX,
