demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,manufacturing_cost,raw_material_cost,profit
224,Sep,4,NE,112,1792000,56,479.1429,773,317,1.86666666666667,3888.88888888889,21302.4,9523.36,32198.40288,9333.33333333333,669583.333333333,112000,73311.9212685813,860858.360295863
237,Oct,3.72727272727,NE,237,1766727.27272598,59.25,479.1429,773,317,1.975,4114.58333333333,22538.7,10076.055,34067.06019,9875,669752.604166667,118500,77566.6309850615,820236.639050919
308,Nov,3.45454545455,NE,308,2128000.0000028,77,479.1429,773,317,2.56666666666667,5347.22222222222,29290.8,13094.62,44272.80396,12833.3333333333,670677.083333333,154000,100803.891744299,1097680.24540961
362,Dec,3.18181818182,NE,362,2303636.36363768,90.5,479.1429,773,317,3.01666666666667,6284.72222222222,34426.2,15390.43,52034.91894,15083.3333333333,671380.208333333,181000,118477.301335832,1209559.24947296
428,Jan,2.90909090909,NE,428,2490181.81818104,107,479.1429,773,317,3.56666666666667,7430.55555555556,40702.8,18196.42,61521.94836,17833.3333333333,672239.583333333,214000,140078.135281039,1318179.04231778
529,Feb,2.63636363636,NE,529,2789272.72726888,132.25,479.1429,773,317,4.40833333333333,9184.02777777778,50307.9,22490.435,76039.97823,22041.6666666667,673554.6875,264500,173133.956924462,1498020.07516997
637,Mar,2.36363636364,NE,637,3011272.72727736,159.25,479.1429,773,317,5.30833333333333,11059.0277777778,60578.7,27082.055,91564.20819,26541.6666666667,674960.9375,318500,208480.776107528,1592505.35603539
1010,Apr,2.09090909091,NE,1010,4223636.3636382,252.5,479.1429,773,317,8.41666666666667,17534.7222222222,96051,42940.15,145180.2987,42083.3333333333,679817.708333333,505000,330558.216434228,2364470.93461508
0,May,1.81818181818,NE,962.756743746,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jun,1.54545454545,NE,815.322177703,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
