demand,month,price,region,sales,revenue,weekly_demand,storage_dist,grove_dist,weekly_transp_cost,weekly_storage_build,weekly_storage_maint,raw_material_cost,profit
3588,Sep,1,NE,3588,7176000,897,479.1429,967,706577.19756,112125,637146.875,1174299.88174853,4545851.04569147
1832,Oct,1.27272727273,NE,1832,4663272.72728272,458,479.1429,967,360771.85784,57250,631202.083333333,599586.784660897,3014462.00144849
1181,Nov,1.54545454545,NE,1181,3650363.6363529,295.25,479.1429,967,232571.81447,36906.25,628998.177083333,386524.013474083,2365363.38132548
941,Dec,1.81818181818,NE,941,3421818.18181476,235.25,479.1429,967,185309.12567,29406.25,628185.677083333,307975.526400603,2270941.60266082
719,Jan,2.09090909091,NE,719,3006727.27272858,179.75,479.1429,967,141591.13853,22468.75,627434.114583333,235318.175857634,1979915.09375761
685,Feb,2.36363636364,NE,685,3238181.8181868,171.25,479.1429,967,134895.59095,21406.25,627319.010416667,224190.473522224,2230370.49329791
435,Mar,2.63636363636,NE,435,2293636.3636332,108.75,479.1429,967,85663.62345,13593.75,626472.65625,142369.132820682,1425537.20111252
336,Apr,2.90909090909,NE,336,1954909.09090848,84,479.1429,967,66167.76432,10500,626137.5,109967.881902872,1142135.94468561
303,May,3.18181818182,NE,303,1928181.81818292,75.75,479.1429,967,59669.14461,9468.75,626025.78125,99167.4649302685,1133850.67739265
232,Jun,3.45454545455,NE,232,1602909.0909112,58,479.1429,967,45687.26584,7250,625785.416666667,75930.2041710307,848256.204233503
245,Jul,3.72727272727,NE,245,1826363.6363623,61.25,479.1429,967,48247.32815,7656.25,625829.427083333,80184.9138875108,1064445.71724146
188,Aug,4,NE,188,1504000,47,479.1429,967,37022.43956,5875,625636.458333333,61529.6482075593,773936.453899107
6265,Sep,1,MA,6265,12530000,1566.25,286.7647,967,872178.27865,195781.25,646209.635416667,2050442.79798063,8765388.0379527
3667,Oct,1.27272727273,MA,3667,9334181.81820182,916.75,286.7647,967,510499.24147,114593.75,637414.322916667,1200155.42541021,6871519.07840494
3147,Nov,1.54545454545,MA,3147,9727090.9090623,786.75,286.7647,967,438107.74827,98343.75,635653.90625,1029967.03675101,7525018.46779129
1994,Dec,1.81818181818,MA,1994,7250909.09090184,498.5,286.7647,967,277593.53354,62312.5,631750.520833333,652607.013435496,5626645.52309301
1309,Jan,2.09090909091,MA,1309,5474000.00000238,327.25,286.7647,967,182231.66269,40906.25,629431.510416667,428416.539913272,4193014.03698244
1166,Feb,2.36363636364,MA,1166,5512000.00000848,291.5,286.7647,967,162324.00206,36437.5,628947.395833333,381614.73303199,4302676.36908316
673,Mar,2.63636363636,MA,673,3548545.45454056,168.25,286.7647,967,93691.29793,21031.25,627278.385416667,220263.04916855,2586281.47202534
744,Apr,2.90909090909,MA,744,4328727.27272592,186,286.7647,967,103575.52104,23250,627518.75,243500.309927788,3330882.69175813
595,May,3.18181818182,MA,595,3786363.6363658,148.75,286.7647,967,82832.57395,18593.75,627014.322916667,194734.790869669,2863188.19862946
507,Jun,3.45454545455,MA,507,3502909.0909137,126.75,286.7647,967,70581.70587,15843.75,626716.40625,165933.678942726,2623833.54985097
