demand,month,price,region,sales,revenue,weekly_demand,storage_dist,g_p_dist,p_s_dist,num_tanker_cars_needed,tanker_car_weekly_purchase_cost,tanker_car_weekly_travel_cost,g_p_weekly_cost,storage_market_weekly_cost,weekly_proc_build,weekly_proc_maint,manufacturing_cost,raw_material_cost,profit
286,Sep,4,NE,143,2288000,71.5,479.1429,773,317,2.38333333333333,4965.27777777778,27198.6,12159.29,41110.46082,11916.6666666667,670390.625,143000,93603.6137625637,1283655.46597299
313,Oct,3.72727272727,NE,313,2333272.72727102,78.25,479.1429,773,317,2.60833333333333,5434.02777777778,29766.3,13307.195,44991.51831,13041.6666666667,670742.1875,156500,102440.31855833,1297049.51345825
332,Nov,3.45454545455,NE,332,2293818.1818212,83,479.1429,773,317,2.76666666666667,5763.88888888889,31573.2,14114.98,47722.63284,13833.3333333333,670989.583333333,166000,108658.740451647,1235161.822974
428,Dec,3.18181818182,NE,428,2723636.36363792,107,479.1429,773,317,3.56666666666667,7430.55555555556,40702.8,18196.42,61521.94836,17833.3333333333,672239.583333333,214000,140078.135281039,1551633.58777466
564,Jan,2.90909090909,NE,564,3281454.54545352,141,479.1429,773,317,4.7,9791.66666666667,53636.4,23978.46,81070.97868,23500,674010.416666667,282000,184588.944622678,1948877.67881751
690,Feb,2.63636363636,NE,690,3638181.8181768,172.5,479.1429,773,317,5.75,11979.1666666667,65619,29335.35,99182.5803,28750,675651.041666667,345000,225826.900336255,2156837.77920721
874,Mar,2.36363636364,NE,874,4131636.36364272,218.5,479.1429,773,317,7.28333333333333,15173.6111111111,83117.4,37158.11,125631.26838,36416.6666666667,678046.875,437000,286047.40709259,2433045.02539235
1238,Apr,2.09090909091,NE,1238,5177090.90909316,309.5,479.1429,773,317,10.3166666666667,21493.0555555556,117733.8,52633.57,177953.67306,51583.3333333333,682786.458333333,619000,405179.279154034,3048727.7396569
1751,May,1.81818181818,NE,1751,6367272.72726636,437.75,479.1429,773,317,14.5916666666667,30399.3055555556,166520.1,74443.765,251693.76537,72958.3333333333,689466.145833333,875500,573076.670273598,3633214.64190054
0,Jun,1.54545454545,NE,1014.845861,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Jul,1.27272727273,NE,680.816248914,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
0,Aug,1,NE,574.158396371,0,0,479.1429,773,317,0,0,0,0,0,0,666666.666666667,0,0,-666666.666666667
