demand,month,price,region,sales
272.0,Sep,4.0,NE,68.0
322.0,Oct,3.72727272727,NE,322.0
263.0,Nov,3.45454545455,NE,263.0
443.0,Dec,3.18181818182,NE,443.0
471.0,Jan,2.90909090909,NE,471.0
642.0,Feb,2.63636363636,NE,642.0
889.0,Mar,2.36363636364,NE,889.0
1233.0,Apr,2.09090909091,NE,1233.0
1669.0,May,1.81818181818,NE,1669.0
3430.24671874,Jun,1.54545454545,NE,1715.12335937
0.0,Jul,1.27272727273,NE,248.939675633
0.0,Aug,1.0,NE,454.424059916
316.0,Sep,4.0,MA,79.0
547.0,Oct,3.72727272727,MA,547.0
733.0,Nov,3.45454545455,MA,733.0
712.0,Dec,3.18181818182,MA,712.0
1096.0,Jan,2.90909090909,MA,1096.0
1253.0,Feb,2.63636363636,MA,1253.0
1669.0,Mar,2.36363636364,MA,1669.0
2428.0,Apr,2.09090909091,MA,2428.0
2873.0,May,1.81818181818,MA,2873.0
8461.56722629,Jun,1.54545454545,MA,4230.78361315
0.0,Jul,1.27272727273,MA,471.978345883
0.0,Aug,1.0,MA,993.521474146
224.0,Sep,4.0,SE,56.0
244.0,Oct,3.72727272727,SE,244.0
309.0,Nov,3.45454545455,SE,309.0
290.0,Dec,3.18181818182,SE,290.0
500.0,Jan,2.90909090909,SE,500.0
520.0,Feb,2.63636363636,SE,520.0
568.0,Mar,2.36363636364,SE,568.0
814.0,Apr,2.09090909091,SE,814.0
1121.0,May,1.81818181818,SE,1121.0
3024.01961935,Jun,1.54545454545,SE,1512.00980968
0.0,Jul,1.27272727273,SE,265.148662844
0.0,Aug,1.0,SE,340.565394326
176.0,Sep,4.0,MW,44.0
332.0,Oct,3.72727272727,MW,332.0
408.0,Nov,3.45454545455,MW,408.0
513.0,Dec,3.18181818182,MW,513.0
642.0,Jan,2.90909090909,MW,642.0
808.0,Feb,2.63636363636,MW,808.0
797.0,Mar,2.36363636364,MW,797.0
1305.0,Apr,2.09090909091,MW,1305.0
1461.0,May,1.81818181818,MW,1461.0
3100.39077111,Jun,1.54545454545,MW,1550.19538555
0.0,Jul,1.27272727273,MW,319.222035447
0.0,Aug,1.0,MW,417.595591009
208.0,Sep,4.0,DS,52.0
199.0,Oct,3.72727272727,DS,199.0
302.0,Nov,3.45454545455,DS,302.0
311.0,Dec,3.18181818182,DS,311.0
347.0,Jan,2.90909090909,DS,347.0
442.0,Feb,2.63636363636,DS,442.0
664.0,Mar,2.36363636364,DS,664.0
710.0,Apr,2.09090909091,DS,710.0
1064.0,May,1.81818181818,DS,1064.0
2214.55180979,Jun,1.54545454545,DS,1107.2759049
0.0,Jul,1.27272727273,DS,216.573789944
0.0,Aug,1.0,DS,385.281698575
92.0,Sep,4.0,NW,23.0
112.0,Oct,3.72727272727,NW,112.0
106.0,Nov,3.45454545455,NW,106.0
164.0,Dec,3.18181818182,NW,164.0
195.0,Jan,2.90909090909,NW,195.0
266.0,Feb,2.63636363636,NW,266.0
331.0,Mar,2.36363636364,NW,331.0
392.0,Apr,2.09090909091,NW,392.0
586.0,May,1.81818181818,NW,586.0
1107.90892274,Jun,1.54545454545,NW,553.954461371
0.0,Jul,1.27272727273,NW,114.42759619
0.0,Aug,1.0,NW,187.011393026
236.0,Sep,4.0,SW,59.0
277.0,Oct,3.72727272727,SW,277.0
291.0,Nov,3.45454545455,SW,291.0
376.0,Dec,3.18181818182,SW,376.0
431.0,Jan,2.90909090909,SW,431.0
437.0,Feb,2.63636363636,SW,437.0
671.0,Mar,2.36363636364,SW,671.0
904.0,Apr,2.09090909091,SW,904.0
1070.0,May,1.81818181818,SW,1070.0
2422.7376356,Jun,1.54545454545,SW,1211.3688178
0.0,Jul,1.27272727273,SW,190.357562914
0.0,Aug,1.0,SW,388.164749696
