b,a,region,product
-27.4429033811336,985.731259641437,NE,ORA
-45.2953278684217,1464.18171946429,NE,POJ
-32.9182911068642,1423.98551469797,NE,ROJ
-40.6970070133034,1245.06259580649,NE,FCOJ
-63.4738282739383,1890.38588328936,MA,ORA
-38.5070721377424,2831.22432689395,MA,POJ
-82.85908424885,2772.46649900866,MA,ROJ
-42.930842442701,1271.27508745776,MA,FCOJ
-31.7913251143949,1017.65478192003,SE,ORA
-56.8111356618331,1530.68429994706,SE,POJ
-19.7516600234472,1068.65295786135,SE,ROJ
-47.7328395610222,1438.15715404474,SE,FCOJ
-29.9326750315636,1590.36044790435,MW,ORA
-17.0929323972104,1548.55288391842,MW,POJ
-52.6252842007424,1629.4955684785,MW,ROJ
-60.147126660696,1750.55490057189,MW,FCOJ
-3.4294500895984,824.541511916402,DS,ORA
-63.5068020127571,1960.9475767096,DS,POJ
-8.33309862364843,872.698432167388,DS,ROJ
-27.0418229258335,1160.48053135466,DS,FCOJ
3.99554273002385,457.387094580656,NW,ORA
-6.76144395384034,586.242444595057,NW,POJ
-3.42030610375159,466.596221855533,NW,ROJ
-12.0800886978051,559.155303388128,NW,FCOJ
-13.6993725729225,687.756359372949,SW,ORA
5.90979640824787,813.760425020178,SW,POJ
-3.9232042230912,964.129821260719,SW,ROJ
-10.5405896324127,849.621104205821,SW,FCOJ
