region,product,price,predicted_demand,weekly_revenue,profit
NE,FCOJ,2.61,142.075206519453,741632.578031545,356425.69962967
MA,FCOJ,2.08,250.910477698238,1043787.58722467,421420.533253847
SE,FCOJ,2.6,165.012301569857,858063.968163256,364525.854677688
MW,FCOJ,2.57,204.691453194942,1052114.069422,501640.182596534
DS,FCOJ,2.7,132.146178631733,713589.364611358,349597.069258251
NW,FCOJ,3.31,38.7656257981119,256628.442783501,126145.39883188
SW,FCOJ,3.74,49.6709796723363,371538.927949076,204356.490898632
NE,ROJ,2.85,139.641283452127,795955.315677124,326580.670736445
MA,ROJ,2.73,283.336450553496,1547017.02002209,660050.765134609
SE,ROJ,3.44,68.0721003921619,468336.050698074,220491.176755767
MW,ROJ,3.13,113.35768843406,709619.129597216,331085.372427067
DS,ROJ,2.99,85.0789322315399,508772.014744609,219123.592972832
NW,ROJ,3.75,29.7804006145182,223353.004608886,103756.492494072
SW,ROJ,3.23,88.2911725614561,570360.974747006,215801.544080505
