Sales,Price,Region,Product,Year,Month,Source
210,3.540110756,NE,ORA,2005,Sep,MomPop
252,3.086649038,NE,ORA,2005,Oct,MomPop
798,2.042574558,NE,ORA,2005,Nov,MomPop
1623,1.509780262,NE,ORA,2005,Dec,MomPop
625,2.2544977,NE,ORA,2005,Jan,MomPop
755,2.072095001,NE,ORA,2005,Feb,MomPop
665,2.281724091,NE,ORA,2005,Mar,MomPop
1594,1.49893428,NE,ORA,2005,Apr,MomPop
1430,1.580561366,NE,ORA,2005,May,MomPop
770,2.216419653,NE,ORA,2005,Jun,MomPop
351,3.226120933,NE,ORA,2005,Jul,MomPop
445,2.566159028,NE,ORA,2005,Aug,MomPop
616,3.016041905,MA,ORA,2005,Sep,MomPop
851,2.577329618,MA,ORA,2005,Oct,MomPop
6822,1.066970004,MA,ORA,2005,Nov,MomPop
936,2.528307672,MA,ORA,2005,Dec,MomPop
932,2.414846546,MA,ORA,2005,Jan,MomPop
582,2.914966923,MA,ORA,2005,Feb,MomPop
744,2.966978064,MA,ORA,2005,Mar,MomPop
496,3.224376221,MA,ORA,2005,Apr,MomPop
1007,2.473019512,MA,ORA,2005,May,MomPop
7591,1.039699016,MA,ORA,2005,Jun,MomPop
4991,1.205498314,MA,ORA,2005,Jul,MomPop
764,2.687046243,MA,ORA,2005,Aug,MomPop
292,3.272050081,SE,ORA,2005,Sep,MomPop
833,2.035829384,SE,ORA,2005,Oct,MomPop
1029,1.832522484,SE,ORA,2005,Nov,MomPop
1181,1.684109507,SE,ORA,2005,Dec,MomPop
462,2.640121822,SE,ORA,2005,Jan,MomPop
2202,1.390480276,SE,ORA,2005,Feb,MomPop
494,2.522947262,SE,ORA,2005,Mar,MomPop
774,2.102823046,SE,ORA,2005,Apr,MomPop
507,2.441533708,SE,ORA,2005,May,MomPop
293,3.339486136,SE,ORA,2005,Jun,MomPop
1375,1.683789224,SE,ORA,2005,Jul,MomPop
904,1.806754641,SE,ORA,2005,Aug,MomPop
455,3.348181484,MW,ORA,2005,Sep,MomPop
466,3.361699308,MW,ORA,2005,Oct,MomPop
4409,1.1611691,MW,ORA,2005,Nov,MomPop
1000,2.358567437,MW,ORA,2005,Dec,MomPop
1295,1.945755758,MW,ORA,2005,Jan,MomPop
338,3.594944209,MW,ORA,2005,Feb,MomPop
530,3.3035095,MW,ORA,2005,Mar,MomPop
547,3.027702316,MW,ORA,2005,Apr,MomPop
1132,2.277690482,MW,ORA,2005,May,MomPop
340,3.592844285,MW,ORA,2005,Jun,MomPop
5797,1.112116865,MW,ORA,2005,Jul,MomPop
729,2.612128984,MW,ORA,2005,Aug,MomPop
1844,1.341699342,DS,ORA,2005,Sep,MomPop
1805,1.335250621,DS,ORA,2005,Oct,MomPop
978,1.753900872,DS,ORA,2005,Nov,MomPop
833,1.93268987,DS,ORA,2005,Dec,MomPop
1409,1.408654589,DS,ORA,2005,Jan,MomPop
2080,1.217925593,DS,ORA,2005,Feb,MomPop
257,3.287418994,DS,ORA,2005,Mar,MomPop
283,3.496112498,DS,ORA,2005,Apr,MomPop
313,3.083965253,DS,ORA,2005,May,MomPop
1481,1.470913794,DS,ORA,2005,Jun,MomPop
225,3.555277518,DS,ORA,2005,Jul,MomPop
377,2.839161596,DS,ORA,2005,Aug,MomPop
177,3.223541224,NW,ORA,2005,Sep,MomPop
235,2.508863991,NW,ORA,2005,Oct,MomPop
260,2.493331406,NW,ORA,2005,Nov,MomPop
442,1.965308863,NW,ORA,2005,Dec,MomPop
360,2.153573915,NW,ORA,2005,Jan,MomPop
743,1.608408338,NW,ORA,2005,Feb,MomPop
169,3.321123411,NW,ORA,2005,Mar,MomPop
357,2.254031904,NW,ORA,2005,Apr,MomPop
592,1.704489461,NW,ORA,2005,May,MomPop
352,2.403640537,NW,ORA,2005,Jun,MomPop
152,3.170107742,NW,ORA,2005,Jul,MomPop
117,3.59697942,NW,ORA,2005,Aug,MomPop
714,1.930653714,SW,ORA,2005,Sep,MomPop
1400,1.341148307,SW,ORA,2005,Oct,MomPop
637,1.842800012,SW,ORA,2005,Nov,MomPop
351,2.698078602,SW,ORA,2005,Dec,MomPop
413,2.43024178,SW,ORA,2005,Jan,MomPop
181,3.437541366,SW,ORA,2005,Feb,MomPop
427,2.436681576,SW,ORA,2005,Mar,MomPop
504,2.375443953,SW,ORA,2005,Apr,MomPop
198,3.344887742,SW,ORA,2005,May,MomPop
507,2.304429675,SW,ORA,2005,Jun,MomPop
275,2.979341237,SW,ORA,2005,Jul,MomPop
421,2.37177266,SW,ORA,2005,Aug,MomPop
404.1124426,2.142392266,NE,POJ,2005,Sep,MomPop
2961,1.295973708,NE,POJ,2005,Oct,MomPop
350,3.509320576,NE,POJ,2005,Nov,MomPop
1362,1.88932853,NE,POJ,2005,Dec,MomPop
441,3.180071876,NE,POJ,2005,Jan,MomPop
2080,1.527678002,NE,POJ,2005,Feb,MomPop
650,2.930932957,NE,POJ,2005,Mar,MomPop
3106,1.27020746,NE,POJ,2005,Apr,MomPop
4503,1.141628965,NE,POJ,2005,May,MomPop
752,2.50200056,NE,POJ,2005,Jun,MomPop
1045,2.243345269,NE,POJ,2005,Jul,MomPop
770,2.480624434,NE,POJ,2005,Aug,MomPop
