Sales,Price,Region,Product,Year,Month,Source,Indicator
210,3.540110756,NE,ORA,2005,Sep,MomPop,0
252,3.086649038,NE,ORA,2005,Oct,MomPop,0
798,2.042574558,NE,ORA,2005,Nov,MomPop,0
1623,1.509780262,NE,ORA,2005,Dec,MomPop,0
625,2.2544977,NE,ORA,2005,Jan,MomPop,0
755,2.072095001,NE,ORA,2005,Feb,MomPop,0
665,2.281724091,NE,ORA,2005,Mar,MomPop,0
1594,1.49893428,NE,ORA,2005,Apr,MomPop,0
1430,1.580561366,NE,ORA,2005,May,MomPop,0
770,2.216419653,NE,ORA,2005,Jun,MomPop,0
351,3.226120933,NE,ORA,2005,Jul,MomPop,0
445,2.566159028,NE,ORA,2005,Aug,MomPop,0
616,3.016041905,MA,ORA,2005,Sep,MomPop,0
851,2.577329618,MA,ORA,2005,Oct,MomPop,0
6822,1.066970004,MA,ORA,2005,Nov,MomPop,0
936,2.528307672,MA,ORA,2005,Dec,MomPop,0
932,2.414846546,MA,ORA,2005,Jan,MomPop,0
582,2.914966923,MA,ORA,2005,Feb,MomPop,0
744,2.966978064,MA,ORA,2005,Mar,MomPop,0
496,3.224376221,MA,ORA,2005,Apr,MomPop,0
1007,2.473019512,MA,ORA,2005,May,MomPop,0
7591,1.039699016,MA,ORA,2005,Jun,MomPop,0
4991,1.205498314,MA,ORA,2005,Jul,MomPop,0
764,2.687046243,MA,ORA,2005,Aug,MomPop,0
292,3.272050081,SE,ORA,2005,Sep,MomPop,0
833,2.035829384,SE,ORA,2005,Oct,MomPop,0
1029,1.832522484,SE,ORA,2005,Nov,MomPop,0
1181,1.684109507,SE,ORA,2005,Dec,MomPop,0
462,2.640121822,SE,ORA,2005,Jan,MomPop,0
2202,1.390480276,SE,ORA,2005,Feb,MomPop,0
494,2.522947262,SE,ORA,2005,Mar,MomPop,0
774,2.102823046,SE,ORA,2005,Apr,MomPop,0
507,2.441533708,SE,ORA,2005,May,MomPop,0
293,3.339486136,SE,ORA,2005,Jun,MomPop,0
1375,1.683789224,SE,ORA,2005,Jul,MomPop,0
904,1.806754641,SE,ORA,2005,Aug,MomPop,0
455,3.348181484,MW,ORA,2005,Sep,MomPop,0
466,3.361699308,MW,ORA,2005,Oct,MomPop,0
4409,1.1611691,MW,ORA,2005,Nov,MomPop,0
1000,2.358567437,MW,ORA,2005,Dec,MomPop,0
1295,1.945755758,MW,ORA,2005,Jan,MomPop,0
338,3.594944209,MW,ORA,2005,Feb,MomPop,0
530,3.3035095,MW,ORA,2005,Mar,MomPop,0
547,3.027702316,MW,ORA,2005,Apr,MomPop,0
1132,2.277690482,MW,ORA,2005,May,MomPop,0
340,3.592844285,MW,ORA,2005,Jun,MomPop,0
