month,foreign,rate
Apr,BRA Real,0.0198588862598
Aug,BRA Real,0.0201139184799
Dec,BRA Real,0.0195817834167
Feb,BRA Real,0.019722333517
Jan,BRA Real,0.0196524601828
Jul,BRA Real,0.0200528772003
Jun,BRA Real,0.0199899057882
Mar,BRA Real,0.0197912068082
May,BRA Real,0.019925181434
Nov,BRA Real,0.01951050209
Oct,BRA Real,0.0194388167754
Sep,BRA Real,0.0193669291822
Apr,SPA Euro,0.0789133130084
Aug,SPA Euro,0.0796423460727
Dec,SPA Euro,0.0781211890364
Feb,SPA Euro,0.0785229644296
Jan,SPA Euro,0.0783232250765
Jul,SPA Euro,0.0794678539593
Jun,SPA Euro,0.0792878443841
Mar,SPA Euro,0.0787198450698
May,SPA Euro,0.0791028238637
Nov,SPA Euro,0.0779174248059
Oct,SPA Euro,0.0777125057379
Sep,SPA Euro,0.0775070084412
