month,grove,quantity
Apr,ARZ,2820.35951143
Aug,ARZ,2886.66142466
Dec,ARZ,2729.73662868
Feb,ARZ,2911.21750622
Jan,ARZ,2987.39637084
Jul,ARZ,2637.79012427
Jun,ARZ,2880.48512363
Mar,ARZ,3104.06415769
May,ARZ,3048.95650927
Nov,ARZ,2937.70049773
Oct,ARZ,2944.76640817
Sep,ARZ,2854.98208515
Apr,BRA,10000000.0
Aug,BRA,10000000.0
Dec,BRA,10000000.0
Feb,BRA,10000000.0
Jan,BRA,10000000.0
Jul,BRA,10000000.0
Jun,BRA,10000000.0
Mar,BRA,10000000.0
May,BRA,10000000.0
Nov,BRA,10000000.0
Oct,BRA,10000000.0
Sep,BRA,10000000.0
Apr,CAL,15045.03188
Aug,CAL,16192.2222874
Dec,CAL,13819.7307484
Feb,CAL,14975.2308356
Jan,CAL,13266.1409977
Jul,CAL,15643.129384
Jun,CAL,15182.8284604
Mar,CAL,14245.0414398
May,CAL,15244.2937929
Nov,CAL,13537.2403009
Oct,CAL,14317.9865959
Sep,CAL,14354.5615288
Apr,FLA,26212.9939105
Aug,FLA,24790.4499776
Dec,FLA,25793.5756786
Feb,FLA,23166.7252443
Jan,FLA,23782.2820627
Jul,FLA,25635.7793586
Jun,FLA,24437.521312
Mar,FLA,23582.3905111
May,FLA,23538.4818753
Nov,FLA,23231.0182803
Oct,FLA,21824.9735636
Sep,FLA,21538.2237367
Apr,SPA,10000000.0
Aug,SPA,10000000.0
Dec,SPA,10000000.0
Feb,SPA,10000000.0
Jan,SPA,10000000.0
Jul,SPA,10000000.0
Jun,SPA,10000000.0
Mar,SPA,10000000.0
May,SPA,10000000.0
Nov,SPA,10000000.0
Oct,SPA,10000000.0
Sep,SPA,10000000.0
Apr,TEX,4643.67479533
Aug,TEX,4692.69904211
Dec,TEX,5103.55946635
Feb,TEX,5019.64106277
Jan,TEX,5146.14105438
Jul,TEX,4310.58311773
Jun,TEX,4973.82874964
Mar,TEX,4719.88389439
May,TEX,4995.97908972
Nov,TEX,4814.16438121
Oct,TEX,4718.97245745
Sep,TEX,4597.00089807
