month,grove,quantity
Apr,ARZ,701.949781402
Aug,ARZ,343.075092443
Dec,ARZ,513.836875212
Feb,ARZ,392.217048122
Jan,ARZ,255.016872054
Jul,ARZ,864.787786083
Jun,ARZ,601.470970129
Mar,ARZ,145.550210443
May,ARZ,291.046002948
Nov,ARZ,173.615697551
Oct,ARZ,173.013789715
Sep,ARZ,286.445654026
Apr,BRA,0.0
Aug,BRA,0.0
Dec,BRA,0.0
Feb,BRA,0.0
Jan,BRA,0.0
Jul,BRA,0.0
Jun,BRA,0.0
Mar,BRA,0.0
May,BRA,0.0
Nov,BRA,0.0
Oct,BRA,0.0
Sep,BRA,0.0
Apr,CAL,1342.07809702
Aug,CAL,526.318239173
Dec,CAL,1621.38361068
Feb,CAL,1190.7544038
Jan,CAL,3610.84715329
Jul,CAL,1150.2751559
Jun,CAL,2076.33017181
Mar,CAL,1519.21529977
May,CAL,1292.55289217
Nov,CAL,2197.14356194
Oct,CAL,1493.7081224
Sep,CAL,1224.65150849
Apr,FLA,1159.2376576
Aug,FLA,4511.09181667
Dec,FLA,1.19347565724e-08
Feb,FLA,4769.77229976
Jan,FLA,4105.96440394
Jul,FLA,1991.19313574
Jun,FLA,3932.74925722
Mar,FLA,5380.11058881
May,FLA,4777.83819211
Nov,FLA,5577.01606283
Oct,FLA,4339.79445906
Sep,FLA,5864.119809
Apr,SPA,0.0
Aug,SPA,0.0
Dec,SPA,0.0
Feb,SPA,0.0
Jan,SPA,0.0
Jul,SPA,0.0
Jun,SPA,0.0
Mar,SPA,0.0
May,SPA,0.0
Nov,SPA,0.0
Oct,SPA,0.0
Sep,SPA,0.0
Apr,TEX,905.137823655
Aug,TEX,780.821875494
Dec,TEX,140.203355885
Feb,TEX,456.199103626
Jan,TEX,141.822684196
Jul,TEX,1122.94748536
Jun,TEX,562.846752456
Mar,TEX,981.189322404
May,TEX,619.840968728
Nov,TEX,479.538623174
Oct,TEX,622.375533555
Sep,TEX,606.556117185
