demand,price,region,sales
286.0,4.0,NE,143.0
313.0,3.72727272727,NE,313.0
332.0,3.45454545455,NE,332.0
428.0,3.18181818182,NE,428.0
564.0,2.90909090909,NE,564.0
690.0,2.63636363636,NE,690.0
874.0,2.36363636364,NE,874.0
1238.0,2.09090909091,NE,1238.0
1751.0,1.81818181818,NE,1751.0
0.0,1.54545454545,NE,1014.845861
0.0,1.27272727273,NE,680.816248914
0.0,1.0,NE,574.158396371
620.0,4.0,MA,310.0
613.0,3.72727272727,MA,613.0
866.0,3.45454545455,MA,866.0
990.0,3.18181818182,MA,990.0
1296.0,2.90909090909,MA,1296.0
1537.0,2.63636363636,MA,1537.0
1845.0,2.36363636364,MA,1845.0
3067.0,2.09090909091,MA,3067.0
3678.0,1.81818181818,MA,3678.0
0.0,1.54545454545,MA,2723.12474119
0.0,1.27272727273,MA,1468.31502356
0.0,1.0,MA,1202.61857277
276.0,4.0,SE,138.0
356.0,3.72727272727,SE,356.0
412.0,3.45454545455,SE,412.0
530.0,3.18181818182,SE,530.0
586.0,2.90909090909,SE,586.0
592.0,2.63636363636,SE,592.0
912.0,2.36363636364,SE,912.0
1089.0,2.09090909091,SE,1089.0
1421.0,1.81818181818,SE,1421.0
0.0,1.54545454545,SE,1012.78905206
0.0,1.27272727273,SE,607.177087379
0.0,1.0,SE,486.347543594
378.0,4.0,MW,189.0
451.0,3.72727272727,MW,451.0
638.0,3.45454545455,MW,638.0
654.0,3.18181818182,MW,654.0
886.0,2.90909090909,MW,886.0
1030.0,2.63636363636,MW,1030.0
1268.0,2.36363636364,MW,1268.0
1712.0,2.09090909091,MW,1712.0
2048.0,1.81818181818,MW,2048.0
0.0,1.54545454545,MW,1530.80518806
0.0,1.27272727273,MW,1195.29549081
0.0,1.0,MW,745.174327155
434.0,4.0,DS,217.0
381.0,3.72727272727,DS,381.0
635.0,3.45454545455,DS,635.0
715.0,3.18181818182,DS,715.0
697.0,2.90909090909,DS,697.0
1008.0,2.63636363636,DS,1008.0
1396.0,2.36363636364,DS,1396.0
1870.0,2.09090909091,DS,1870.0
2610.0,1.81818181818,DS,2610.0
0.0,1.54545454545,DS,2286.47603134
0.0,1.27272727273,DS,1393.26018499
0.0,1.0,DS,871.602276406
110.0,4.0,NW,55.0
146.0,3.72727272727,NW,146.0
172.0,3.45454545455,NW,172.0
188.0,3.18181818182,NW,188.0
266.0,2.90909090909,NW,266.0
278.0,2.63636363636,NW,278.0
509.0,2.36363636364,NW,509.0
500.0,2.09090909091,NW,500.0
579.0,1.81818181818,NW,579.0
0.0,1.54545454545,NW,632.029038959
0.0,1.27272727273,NW,569.196247186
0.0,1.0,NW,338.604411237
272.0,4.0,SW,136.0
279.0,3.72727272727,SW,279.0
335.0,3.45454545455,SW,335.0
405.0,3.18181818182,SW,405.0
525.0,2.90909090909,SW,525.0
532.0,2.63636363636,SW,532.0
694.0,2.36363636364,SW,694.0
891.0,2.09090909091,SW,891.0
1066.0,1.81818181818,SW,1066.0
0.0,1.54545454545,SW,1109.66799781
0.0,1.27272727273,SW,670.420556755
0.0,1.0,SW,442.626132882
