R,obj
0,1186480.71451
1,1194308.1484
2,1201975.3645
3,1209488.32592
4,1216852.6697
5,1224073.72984
6,1231156.55829
7,1238105.94425
8,1244926.43187
9,1251622.33639
10,1258197.75913
11,1264656.60121
12,1271002.57615
13,1277239.22165
14,1283369.91031
15,1289397.85966
16,1295326.14139
17,1301157.68995
18,1306895.3105
19,1312541.68632
20,1318099.38569
21,1323570.86828
22,1328958.49115
23,1334264.5143
24,1339491.10589
25,1344640.34708
26,1349714.23659
27,1354714.69496
28,1359643.5685
29,1364502.63309
30,1369293.59763
31,1374018.10736
32,1378677.74695
33,1383274.04343
34,1387808.46888
35,1392282.44307
36,1396697.33585
37,1401054.46944
38,1405355.12064
39,1409600.52282
40,1413791.86787
41,1417930.30803
42,1422016.95763
43,1426052.89468
44,1430039.16245
45,1433976.77095
46,1437866.69827
47,1441709.89196
48,1445507.27022
49,1449259.72315
50,1452968.11383
51,1456633.27943
52,1460256.03219
53,1463837.16043
54,1467377.42947
55,1470877.58249
56,1474338.34139
57,1477760.40757
58,1481144.46272
59,1484491.16952
60,1487801.17234
61,1491075.09795
62,1494313.55606
63,1497517.14003
64,1500686.42738
65,1503821.98036
66,1506924.34649
67,1509994.05906
68,1513031.63763
69,1516037.58846
70,1519012.40499
71,1521956.56826
72,1524870.54731
73,1527754.79958
74,1530609.77129
75,1533435.89778
76,1536233.60391
77,1539003.30432
78,1541745.40381
79,1544460.29762
80,1547148.37174
81,1549810.0032
82,1552445.56029
83,1555055.40292
84,1557639.88279
85,1560199.34366
86,1562734.1216
87,1565244.54522
88,1567730.93584
89,1570193.60775
90,1572632.86843
91,1575049.01865
92,1577442.35279
93,1579813.15889
94,1582161.71894
95,1584488.30897
96,1586793.19926
97,1589076.65446
98,1591338.93379
99,1593580.29114
100,1595800.97525
101,1598001.22981
102,1600181.29364
103,1602341.40078
104,1604481.78063
105,1606602.65806
106,1608704.25356
107,1610786.78329
108,1612850.45928
109,1614895.48944
110,1616922.07772
111,1618930.4242
112,1620920.72517
113,1622893.17326
114,1624847.95748
115,1626785.26334
116,1628705.27293
117,1630608.16501
118,1632494.11506
119,1634363.29539
120,1636215.87521
121,1638052.02068
122,1639871.895
123,1641675.65849
124,1643463.46863
125,1645235.48014
126,1646991.84503
127,1648732.71269
128,1650458.22993
129,1652168.54101
130,1653863.78777
131,1655544.1096
132,1657209.64355
133,1658860.52437
134,1660496.88453
135,1662118.85433
136,1663726.56189
137,1665320.1332
138,1666899.69221
139,1668465.36084
140,1670017.25902
141,1671555.50474
142,1673080.2141
143,1674591.50132
144,1676089.47884
145,1677574.25726
146,1679045.94546
147,1680504.65062
148,1681950.47822
149,1683383.5321
150,1684803.91449
151,1686211.72605
152,1687607.06586
153,1688990.03152
154,1690360.71912
155,1691719.22329
156,1693065.63724
157,1694400.05275
158,1695722.56026
159,1697033.24883
160,1698332.20621
161,1699619.51883
162,1700895.27186
163,1702159.54923
164,1703412.4336
165,1704654.00646
166,1705884.34811
167,1707103.53767
168,1708311.65314
169,1709508.77137
170,1710694.96813
171,1711870.31812
172,1713034.89495
173,1714188.77121
174,1715332.01844
175,1716464.70719
176,1717586.90703
177,1718698.68654
178,1719800.11335
179,1720891.25415
180,1721972.17472
181,1723042.9399
182,1724103.61368
183,1725154.25915
184,1726194.93853
185,1727225.71322
186,1728246.64375
187,1729257.78986
188,1730259.21048
189,1731250.96373
190,1732233.10696
191,1733205.69676
192,1734168.78895
193,1735122.43861
194,1736066.70011
195,1737001.62707
196,1737927.27241
197,1738843.68837
198,1739750.92649
199,1740649.03763
200,1741538.07199
201,1742418.07913
202,1743289.10794
203,1744151.20668
204,1745004.42301
205,1745848.80395
206,1746684.39591
207,1747511.24472
208,1748329.39562
209,1749138.89326
210,1749939.78172
211,1750732.10453
212,1751515.90464
213,1752291.22449
214,1753058.10595
215,1753816.59037
216,1754566.71859
217,1755308.53091
218,1756042.06714
219,1756767.36658
220,1757484.46805
221,1758193.40986
222,1758894.22986
223,1759586.96541
224,1760271.65342
225,1760948.33034
226,1761617.03213
227,1762277.79436
228,1762930.6521
229,1763575.64003
230,1764212.79237
231,1764842.14293
232,1765463.7251
233,1766077.57185
234,1766683.71574
235,1767282.18894
236,1767873.02322
237,1768456.24995
238,1769031.90012
239,1769600.00432
240,1770160.5928
241,1770713.6954
242,1771259.34161
243,1771797.56055
244,1772328.381
245,1772851.83136
246,1773367.9397
247,1773876.73372
248,1774378.24081
249,1774872.488
250,1775359.502
251,1775839.30919
252,1776311.93561
253,1776777.40699
254,1777235.74875
255,1777686.98598
256,1778131.14348
257,1778568.24573
258,1778998.31691
259,1779421.38089
260,1779837.46126
261,1780246.58132
262,1780648.76406
263,1781044.03221
264,1781432.40819
265,1781813.91418
266,1782188.57203
267,1782556.40336
268,1782917.42951
269,1783271.67153
270,1783619.15024
271,1783959.88617
272,1784293.89961
273,1784621.21059
274,1784941.83887
275,1785255.80398
276,1785563.1252
277,1785863.82155
278,1786157.91181
279,1786445.41454
280,1786726.34804
281,1787000.73039
282,1787268.57941
283,1787529.91272
284,1787784.74771
285,1788033.10151
286,1788274.99106
287,1788510.43306
288,1788739.44401
289,1788962.04017
290,1789178.23759
291,1789388.05212
292,1789591.49939
293,1789788.5948
294,1789979.35358
295,1790163.79073
296,1790341.92105
297,1790513.75914
298,1790679.31941
299,1790838.61604
300,1790991.66306
301,1791138.47427
302,1791279.06328
303,1791413.44352
304,1791541.62823
305,1791663.63045
306,1791779.46306
307,1791889.13871
308,1791992.66992
309,1792090.06898
310,1792181.34803
311,1792266.51902
312,1792345.59372
313,1792418.58374
314,1792485.50049
315,1792546.35524
316,1792601.15905
317,1792649.92283
318,1792692.65733
319,1792729.37311
320,1792760.08058
321,1792784.78998
322,1792803.51138
323,1792816.25469
324,1792823.02967
325,1792823.8459
326,1792818.71281
327,1792807.63968
328,1792790.63561
329,1792767.70957
330,1792738.87036
331,1792704.12663
332,1792663.48686
333,1792616.95942
334,1792564.55249
335,1792506.27411
336,1792442.13217
337,1792372.13443
338,1792296.28848
339,1792214.60177
340,1792127.08161
341,1792033.73516
342,1791934.56945
343,1791829.59134
344,1791718.80757
345,1791602.22473
346,1791479.84929
347,1791351.68754
348,1791217.74566
349,1791078.0297
350,1790932.54555
351,1790781.29897
352,1790624.29559
353,1790461.5409
354,1790293.04026
355,1790118.79889
356,1789938.82189
357,1789753.1142
358,1789561.68067
