,To:Fr,S01,S13,S14,S15,S21,S22,S23,S24,S25,S26,S27,S31,S32,S33,S34,S35,S36,S37,S38,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S72,S73,S74,S75,S76,S77,S78,S79,S83,S84,S85,S86,S87,S88,S89,S94,S95,S96,S97,S98,S99
NE,ANY,1387,1625,1889,2174,1062,1254,1499,1775,2070,2374,2684,906,1120,1383,1672,1975,2284,2597,2913,609,759,999,1280,1581,1891,2204,2519,2835,3150,357,569,853,1159,1472,1788,2104,2419,2733,3046,205,482,791,1106,1422,1738,2053,2365,2677,2986,136,764,1078,1391,1704,2015,2323,2629,2934,1078,1382,1687,1991,2292,2592,2890,1394,1688,1981,2273,2566,2856
NE,BOS,1444,1758,2039,2337,1140,1372,1642,1933,2238,2550,2864,999,1252,1536,1838,2149,2464,2780,3098,652,872,1146,1445,1754,2070,2387,2704,3022,3338,442,719,1023,1338,1655,1974,2291,2607,2922,3234,346,657,973,1291,1608,1926,2241,2554,2865,3174,325,952,1266,1580,1893,2203,2511,2817,3121,1265,1570,1875,2178,2479,2779,3076,1578,1872,2166,2458,2749,3039
NE,CLP,1105,1318,1592,1892,767,943,1196,1487,1798,2117,2441,604,812,1090,1396,1716,2041,2367,2696,378,450,699,1002,1322,1648,1976,2304,2632,2959,132,273,591,919,1248,1577,1905,2230,2554,2877,106,258,578,902,1227,1552,1875,2195,2515,2833,258,616,919,1231,1546,1861,2174,2487,2798,968,1259,1559,1862,2166,2470,2773,1310,1591,1880,2171,2464,2757
NE,KEE,1458,1723,1990,2278,1141,1347,1599,1878,2173,2477,2786,990,1217,1485,1775,2078,2387,2698,3012,671,849,1100,1384,1684,1993,2305,2618,2932,3246,433,669,957,1262,1573,1888,2202,2515,2827,3137,300,585,892,1205,1520,1835,2147,2458,2767,3074,232,859,1172,1484,1796,2105,2412,2717,3019,1165,1469,1774,2076,2376,2675,2972,1474,1768,2061,2353,2644,2934
NE,LAK,1167,1476,1768,2078,854,1085,1366,1671,1989,2313,2640,711,971,1271,1587,1912,2240,2567,2897,380,586,877,1193,1518,1847,2177,2505,2833,3159,155,464,790,1119,1448,1778,2105,2429,2753,3075,145,454,777,1102,1426,1751,2073,2393,2712,3028,282,803,1112,1425,1741,2055,2368,2680,2990,1148,1445,1748,2052,2355,2658,2961,1485,1771,2062,2354,2647,2940
NE,MBK,1279,1544,1820,2117,957,1164,1425,1714,2020,2333,2651,805,1038,1317,1619,1932,2251,2571,2893,498,665,927,1225,1538,1857,2179,2500,2822,3143,250,499,806,1125,1447,1770,2092,2412,2731,3048,126,444,766,1088,1409,1731,2050,2366,2681,2994,177,764,1078,1393,1708,2022,2332,2642,2949,1097,1398,1703,2007,2310,2612,2913,1425,1715,2008,2300,2593,2885
NE,MVY,1243,1535,1820,2123,927,1149,1421,1718,2030,2348,2670,781,1029,1319,1628,1947,2270,2593,2919,456,649,927,1234,1552,1876,2201,2526,2850,3173,222,504,821,1145,1470,1796,2121,2442,2763,3082,144,469,792,1116,1439,1762,2083,2400,2717,3031,232,801,1114,1429,1744,2058,2370,2680,2989,1139,1439,1743,2048,2351,2653,2955,1470,1759,2051,2344,2637,2929
NE,PGH,1096,1189,1437,1721,745,844,1053,1321,1619,1931,2250,570,692,931,1219,1530,1850,2173,2500,484,395,553,827,1135,1456,1781,2107,2435,2762,306,139,404,725,1051,1380,1707,2032,2357,2680,278,71,380,705,1029,1355,1678,1999,2319,2637,350,433,727,1037,1351,1666,1979,2293,2605,789,1073,1370,1672,1975,2279,2583,1135,1410,1696,1985,2278,2572
NE,PHI,1146,1435,1724,2032,827,1047,1323,1625,1942,2266,2592,679,929,1225,1540,1864,2191,2519,2849,366,547,832,1146,1470,1799,2128,2457,2785,3112,120,416,742,1071,1400,1730,2057,2382,2706,3028,109,407,729,1054,1379,1704,2026,2346,2665,2982,266,759,1066,1379,1695,2009,2322,2635,2945,1106,1401,1703,2007,2310,2614,2917,1444,1729,2019,2311,2605,2898
NE,PVD,1393,1718,2004,2306,1092,1329,1605,1901,2211,2526,2843,954,1213,1503,1809,2125,2443,2762,3083,602,830,1111,1416,1730,2049,2370,2690,3010,3329,399,687,998,1317,1637,1959,2279,2597,2914,3229,317,636,956,1276,1596,1916,2233,2547,2861,3171,323,944,1259,1573,1888,2199,2508,2816,3121,1266,1569,1874,2178,2480,2781,3079,1584,1877,2170,2463,2755,3045
NE,RER,1352,1473,1706,1972,1006,1131,1332,1581,1858,2151,2453,835,978,1200,1465,1755,2055,2362,2674,639,666,835,1081,1363,1662,1970,2280,2593,2907,382,424,650,935,1239,1550,1863,2176,2490,2802,219,284,562,869,1181,1496,1810,2121,2433,2742,108,521,834,1147,1460,1771,2079,2387,2692,836,1140,1445,1749,2050,2352,2651,1158,1450,1743,2036,2328,2620
NE,SCR,1239,1467,1736,2029,908,1094,1343,1627,1930,2242,2559,749,961,1232,1529,1841,2159,2479,2801,477,599,844,1136,1446,1765,2086,2408,2730,3052,215,414,715,1033,1354,1678,2000,2321,2641,2959,46,352,674,996,1318,1640,1960,2277,2593,2907,141,676,990,1304,1620,1934,2245,2555,2863,1014,1314,1618,1922,2225,2528,2829,1346,1634,1926,2219,2512,2804
NE,SMS,1373,1655,1931,2226,1058,1273,1535,1823,2126,2437,2751,910,1148,1427,1726,2036,2351,2668,2987,584,774,1038,1333,1641,1957,2275,2593,2912,3230,351,609,911,1225,1543,1863,2181,2498,2814,3129,236,544,860,1180,1498,1817,2134,2447,2760,3070,222,844,1159,1473,1787,2099,2407,2715,3020,1165,1468,1774,2077,2379,2680,2978,1484,1776,2070,2362,2655,2945
NE,SUP,1166,1375,1644,1938,829,1003,1250,1535,1841,2156,2476,666,869,1139,1440,1755,2075,2398,2724,428,511,751,1046,1360,1682,2006,2331,2656,2981,169,322,628,950,1275,1602,1927,2250,2572,2893,53,275,598,923,1247,1571,1892,2211,2529,2845,197,619,928,1242,1558,1872,2184,2496,2806,966,1261,1564,1868,2171,2475,2777,1304,1589,1879,2171,2464,2757
MA,CRS,912,980,1244,1545,562,630,851,1139,1455,1783,2115,388,479,741,1053,1382,1716,2052,2389,452,215,351,659,990,1327,1665,2001,2337,2673,397,80,283,616,950,1286,1619,1951,2281,2611,452,239,359,648,963,1287,1612,1935,2259,2582,558,489,722,1007,1312,1622,1935,2250,2564,827,1077,1358,1651,1950,2253,2557,1170,1424,1697,1980,2269,2561
MA,CVE,1163,1178,1399,1665,812,862,1031,1273,1554,1854,2165,637,698,894,1159,1455,1766,2082,2404,599,462,541,773,1061,1372,1690,2011,2334,2658,425,202,342,639,957,1281,1605,1927,2249,2570,372,52,276,600,924,1247,1569,1889,2208,2525,398,313,611,922,1238,1552,1865,2178,2489,668,953,1252,1555,1858,2162,2465,1014,1290,1576,1866,2159,2452
MA,CWV,994,1111,1374,1671,643,753,982,1267,1578,1900,2227,468,608,870,1176,1498,1827,2158,2491,413,293,482,782,1105,1436,1768,2100,2433,2764,290,52,379,712,1045,1378,1709,2038,2366,2692,321,156,401,717,1040,1366,1691,2013,2336,2657,429,490,763,1064,1376,1689,2003,2318,2631,844,1116,1407,1706,2008,2312,2616,1191,1459,1739,2026,2318,2611
MA,DTN,1060,976,1185,1451,720,691,823,1058,1343,1651,1970,556,518,681,946,1251,1570,1895,2224,656,401,348,558,856,1177,1504,1833,2164,2494,559,233,127,446,776,1108,1439,1767,2095,2422,558,245,153,448,770,1096,1420,1743,2066,2388,610,304,514,803,1111,1423,1736,2051,2365,624,870,1152,1447,1747,2050,2354,965,1217,1490,1773,2063,2356
MA,FRY,1004,904,1119,1392,670,620,752,995,1289,1604,1928,511,447,613,889,1202,1528,1858,2192,655,369,276,498,808,1136,1469,1802,2136,2470,588,254,80,414,748,1083,1416,1746,2077,2406,606,306,193,444,758,1082,1406,1730,2054,2377,670,360,534,807,1108,1418,1730,2045,2360,659,888,1160,1450,1748,2050,2355,993,1235,1502,1782,2070,2362
MA,HIP,709,956,1271,1606,362,557,863,1196,1540,1887,2234,193,461,798,1143,1492,1840,2187,2533,275,73,420,768,1116,1463,1809,2152,2495,2837,375,271,488,797,1124,1458,1792,2125,2459,2792,511,442,596,861,1163,1480,1801,2124,2449,2774,666,731,954,1226,1521,1827,2137,2451,2766,1067,1309,1581,1868,2163,2464,2768,1408,1656,1923,2202,2489,2779
MA,JTC,756,839,1128,1449,411,470,724,1040,1375,1717,2060,245,332,638,975,1320,1665,2010,2355,451,112,249,593,939,1286,1631,1973,2316,2657,490,239,323,619,945,1278,1612,1945,2279,2612,585,405,458,693,988,1302,1623,1946,2270,2595,711,614,800,1058,1348,1652,1961,2274,2589,928,1151,1415,1698,1991,2290,2593,1262,1498,1759,2034,2319,2609
MA,LXK,924,838,1071,1358,594,541,692,956,1264,1589,1920,441,368,564,862,1187,1521,1857,2196,625,313,202,468,795,1133,1471,1809,2147,2484,592,263,119,430,763,1099,1433,1765,2098,2428,632,356,271,490,791,1110,1433,1757,2082,2405,715,441,596,854,1148,1454,1765,2079,2394,730,946,1210,1495,1790,2091,2395,1059,1293,1555,1831,2117,2407
MA,MAO,1038,691,835,1082,766,552,519,695,974,1288,1616,658,396,351,576,887,1216,1552,1892,920,583,268,196,492,828,1167,1506,1846,2186,896,563,243,165,472,805,1139,1472,1806,2139,922,615,357,311,536,837,1154,1475,1800,2125,979,508,478,643,902,1194,1498,1810,2124,649,775,994,1257,1540,1836,2137,921,1106,1340,1600,1877,2163
MA,MAY,957,911,1145,1430,618,602,767,1029,1333,1654,1982,454,433,639,932,1253,1583,1916,2252,588,305,273,538,859,1192,1528,1863,2198,2533,530,196,144,477,811,1146,1480,1811,2142,2471,561,282,249,512,825,1148,1473,1796,2120,2443,641,406,600,875,1176,1486,1798,2113,2427,720,954,1228,1519,1816,2119,2423,1057,1302,1570,1850,2138,2430
MA,MSD,1127,1106,1322,1586,778,801,957,1194,1476,1778,2091,605,633,817,1080,1379,1691,2011,2335,618,434,471,694,984,1298,1618,1942,2268,2594,472,193,263,565,887,1213,1539,1864,2188,2511,440,116,211,536,861,1186,1509,1830,2150,2469,475,286,563,870,1184,1498,1812,2126,2438,639,913,1207,1508,1810,2115,2418,985,1254,1537,1825,2117,2410
MA,MSP,895,1100,1391,1706,549,718,988,1298,1625,1958,2294,380,594,896,1222,1558,1895,2233,2572,284,222,503,832,1168,1508,1847,2184,2521,2856,228,148,466,799,1134,1469,1803,2134,2464,2793,332,284,520,825,1144,1468,1793,2117,2441,2763,480,621,885,1180,1488,1800,2113,2428,2742,973,1240,1527,1823,2124,2428,2732,1320,1584,1862,2148,2439,2732
MA,MTH,1002,599,739,996,755,501,426,603,894,1219,1554,667,364,255,493,818,1157,1499,1844,962,617,277,102,429,775,1119,1463,1806,2149,961,633,329,211,460,782,1113,1445,1780,2114,999,700,454,380,554,833,1142,1460,1783,2108,1065,605,553,681,916,1196,1494,1802,2115,728,826,1023,1272,1548,1838,2136,981,1146,1366,1618,1888,2170
MA,RCH,866,1167,1476,1803,538,769,1069,1394,1730,2069,2409,390,668,993,1329,1670,2012,2353,2694,158,276,603,943,1285,1627,1969,2307,2646,2983,170,279,595,927,1261,1596,1930,2262,2593,2922,329,395,652,956,1275,1599,1923,2247,2571,2893,500,746,1016,1312,1620,1932,2245,2560,2874,1100,1370,1658,1955,2256,2559,2864,1447,1714,1993,2279,2570,2863
MA,RRN,781,1112,1432,1767,457,708,1023,1358,1701,2046,2391,318,622,959,1303,1650,1996,2340,2685,124,234,578,924,1270,1616,1960,2302,2643,2982,251,317,607,932,1264,1599,1933,2266,2599,2930,414,457,685,977,1289,1611,1934,2258,2583,2906,585,794,1049,1337,1641,1950,2263,2577,2892,1144,1405,1688,1981,2280,2583,2887,1490,1751,2026,2310,2599,2892
MA,SHK,946,790,1004,1284,629,526,636,884,1186,1508,1839,489,350,498,784,1107,1440,1776,2115,702,379,175,391,715,1052,1390,1729,2067,2405,672,342,89,354,685,1020,1355,1687,2020,2351,708,419,265,429,720,1036,1358,1682,2006,2331,783,440,552,793,1080,1384,1693,2007,2322,697,894,1150,1430,1723,2022,2325,1016,1240,1495,1768,2052,2341
MA,TIL,1144,767,871,1087,868,656,592,719,965,1260,1576,754,502,418,580,861,1176,1502,1835,993,666,368,245,467,782,1112,1446,1781,2117,945,610,277,65,395,731,1065,1397,1730,2061,952,634,339,210,438,748,1069,1392,1716,2041,991,463,382,538,803,1100,1407,1720,2035,556,669,890,1157,1444,1741,2043,817,1000,1236,1500,1778,2065
SE,CHR,433,840,1195,1556,102,437,797,1158,1521,1881,2240,120,437,790,1147,1505,1861,2215,2570,399,283,502,822,1162,1509,1857,2204,2551,2898,609,543,678,931,1231,1551,1879,2210,2544,2879,767,717,822,1035,1305,1603,1914,2231,2554,2878,932,976,1156,1396,1670,1962,2264,2574,2887,1290,1502,1752,2025,2310,2605,2905,1620,1847,2099,2367,2646,2932
SE,DAY,107,740,1113,1487,245,435,769,1126,1490,1854,2218,421,550,835,1166,1513,1866,2220,2577,703,596,692,929,1229,1555,1893,2236,2582,2930,934,860,926,1108,1360,1651,1961,2282,2610,2943,1096,1035,1090,1244,1468,1734,2024,2328,2642,2962,1262,1257,1389,1587,1829,2099,2385,2684,2991,1540,1715,1935,2184,2453,2736,3028,1851,2050,2280,2530,2797,3074
SE,FPR,61,825,1192,1565,397,572,881,1226,1584,1946,2309,572,702,965,1282,1621,1969,2321,2677,814,747,849,1072,1358,1675,2007,2346,2691,3038,1059,1010,1085,1261,1503,1785,2089,2405,2730,3061,1226,1186,1249,1400,1616,1875,2159,2458,2769,3087,1396,1415,1547,1740,1975,2239,2521,2817,3121,1699,1871,2086,2330,2594,2874,3163,2009,2204,2429,2676,2939,3214
SE,FSC,551,896,1236,1588,212,487,830,1183,1540,1896,2250,89,443,799,1154,1510,1865,2216,2568,310,181,465,805,1151,1500,1849,2195,2541,2886,496,431,602,881,1195,1523,1854,2187,2522,2856,651,604,732,969,1254,1561,1878,2198,2522,2847,814,879,1078,1333,1618,1917,2223,2534,2849,1203,1429,1690,1969,2260,2558,2859,1539,1776,2036,2308,2591,2880
SE,GRN,611,751,1069,1410,271,355,661,1002,1353,1706,2058,128,261,609,962,1317,1669,2020,2371,465,144,267,606,953,1303,1650,1997,2343,2687,575,379,438,690,998,1324,1656,1988,2323,2657,696,550,591,791,1064,1367,1681,2001,2325,2650,837,754,915,1152,1429,1724,2029,2339,2653,1053,1259,1509,1783,2070,2366,2667,1379,1604,1855,2124,2404,2691
SE,HVA,742,486,751,1075,507,248,351,666,1012,1363,1716,451,108,268,620,976,1330,1682,2034,802,458,153,286,622,970,1318,1665,2012,2359,868,580,396,462,712,1019,1343,1673,2006,2341,950,705,568,614,814,1086,1387,1700,2021,2344,1055,742,777,938,1176,1451,1744,2049,2360,944,1077,1283,1531,1803,2091,2387,1225,1404,1627,1877,2146,2426
SE,JFL,321,631,996,1365,130,253,615,980,1346,1711,2073,258,335,648,995,1350,1706,2062,2418,624,422,472,723,1039,1376,1719,2065,2413,2761,815,679,710,891,1152,1453,1770,2095,2426,2760,961,852,877,1025,1253,1527,1823,2132,2450,2772,1116,1046,1169,1369,1616,1891,2183,2485,2794,1322,1496,1718,1972,2244,2531,2826,1631,1831,2064,2317,2587,2867
SE,MTG,566,382,720,1079,410,55,320,683,1048,1411,1772,429,152,347,690,1046,1402,1758,2114,820,512,324,447,740,1072,1415,1760,2108,2457,943,703,586,659,877,1161,1472,1795,2125,2458,1054,852,761,817,997,1248,1534,1838,2153,2474,1180,936,981,1131,1351,1612,1896,2194,2501,1149,1275,1468,1705,1967,2248,2539,1426,1596,1809,2050,2312,2587
SE,OCL,141,657,1029,1403,264,370,692,1046,1409,1773,2137,433,503,766,1090,1435,1787,2141,2498,751,605,656,870,1160,1482,1818,2159,2505,2853,970,867,902,1062,1301,1585,1892,2210,2537,2869,1127,1041,1070,1205,1415,1673,1959,2260,2572,2891,1288,1240,1355,1540,1774,2038,2321,2618,2923,1511,1674,1885,2128,2392,2673,2963,1814,2005,2228,2474,2737,3012
SE,PAN,411,383,755,1128,392,161,411,764,1128,1492,1856,488,337,503,812,1154,1505,1859,2216,875,620,512,632,892,1205,1538,1878,2224,2572,1042,848,776,856,1056,1322,1620,1935,2260,2591,1173,1010,951,1016,1185,1421,1695,1990,2300,2617,1314,1127,1181,1325,1534,1784,2059,2351,2653,1348,1472,1657,1884,2139,2413,2699,1625,1789,1995,2229,2485,2755
SE,WPB,146,877,1239,1609,485,651,945,1282,1636,1996,2358,660,787,1039,1347,1681,2026,2376,2731,886,835,937,1152,1430,1741,2069,2406,2749,3096,1136,1098,1174,1346,1582,1859,2159,2472,2795,3124,1305,1273,1338,1487,1699,1952,2232,2529,2838,3154,1476,1504,1635,1824,2056,2317,2596,2889,3191,1787,1957,2169,2410,2672,2949,3237,2096,2289,2511,2756,3017,3290
SE,YEM,420,749,1102,1463,72,344,704,1066,1429,1790,2149,111,351,701,1057,1415,1772,2126,2481,474,285,435,741,1077,1423,1770,2117,2465,2812,662,548,636,866,1157,1473,1799,2129,2462,2797,811,723,790,980,1238,1530,1838,2153,2475,2799,969,952,1111,1337,1604,1892,2191,2499,2811,1252,1451,1692,1959,2241,2534,2833,1575,1793,2039,2303,2579,2864
MW,ABL,1528,915,793,821,1312,1017,766,620,654,846,1116,1227,914,631,448,493,724,1021,1341,1496,1162,835,521,281,346,628,948,1279,1613,1443,1111,778,444,109,227,561,894,1227,1560,1434,1109,788,474,211,288,582,899,1223,1548,1445,835,559,372,419,651,938,1243,1555,681,543,575,755,1006,1287,1581,716,740,883,1098,1352,1625
