leftover,product,storage,t
69.9146394395,ORA,S35,1.0
66.0466697188,POJ,S35,1.0
-13.6971882284,ROJ,S35,1.0
-85.4243110164,FCOJ,S35,1.0
94.8539120088,ORA,S73,1.0
36.0587081071,POJ,S73,1.0
39.2930984809,ROJ,S73,1.0
154.2393703,FCOJ,S73,1.0
71.7950947439,ORA,S59,1.0
21.9964525354,POJ,S59,1.0
277.058004331,ROJ,S59,1.0
106.973878173,FCOJ,S59,1.0
256.183754888,ORA,S51,1.0
214.666630493,POJ,S51,1.0
861.019301678,ROJ,S51,1.0
137.929521774,FCOJ,S51,1.0
58.0197125256,ORA,S35,2.0
-15.5872051826,POJ,S35,2.0
-65.1800045957,ROJ,S35,2.0
-190.78643338,FCOJ,S35,2.0
-33.9553427964,ORA,S73,2.0
-44.0222680506,POJ,S73,2.0
-12.2300165143,ROJ,S73,2.0
94.3475519104,FCOJ,S73,2.0
127.083376078,ORA,S59,2.0
-54.0577757551,POJ,S59,2.0
194.535212523,ROJ,S59,2.0
51.7537672155,FCOJ,S59,2.0
-62.9714950148,ORA,S51,2.0
-1.72195128685,POJ,S51,2.0
678.568616631,ROJ,S51,2.0
-290.168977636,FCOJ,S51,2.0
47.6190910633,ORA,S35,3.0
17.0815110449,POJ,S35,3.0
-67.9085708165,ROJ,S35,3.0
-158.250261568,FCOJ,S35,3.0
-128.495139358,ORA,S73,3.0
-81.0158737022,POJ,S73,3.0
-53.2293410517,ROJ,S73,3.0
35.9011333227,FCOJ,S73,3.0
182.624052957,ORA,S59,3.0
12.7707820432,POJ,S59,3.0
110.814860848,ROJ,S59,3.0
70.1696595095,FCOJ,S59,3.0
-338.506872393,ORA,S51,3.0
-208.546508222,POJ,S51,3.0
495.144482104,ROJ,S51,3.0
-426.158670751,FCOJ,S51,3.0
37.6851279959,ORA,S35,4.0
-1.2103691327,POJ,S35,4.0
-66.8403778938,ROJ,S35,4.0
-162.071165623,FCOJ,S35,4.0
-127.085393739,ORA,S73,4.0
-22.4102041302,POJ,S73,4.0
-51.6719837755,ROJ,S73,4.0
23.204713774,FCOJ,S73,4.0
237.464002598,ORA,S59,4.0
-22.7143129304,POJ,S59,4.0
24.3211712369,ROJ,S59,4.0
49.9305020456,FCOJ,S59,4.0
-326.551551445,ORA,S51,4.0
-10.65062689,POJ,S51,4.0
308.84676823,ROJ,S51,4.0
-289.688905122,FCOJ,S51,4.0
-60.8614007441,ORA,S35,5.0
-74.9412905599,POJ,S35,5.0
-86.2878472312,ROJ,S35,5.0
-495.939457262,FCOJ,S35,5.0
