demand,price,region,sales
759.0,2.1,NE,759.0
689.0,2.1,NE,689.0
649.0,2.1,NE,649.0
655.0,2.1,NE,655.0
707.0,2.1,NE,707.0
824.0,2.1,NE,824.0
787.0,2.1,NE,787.0
754.0,2.1,NE,754.0
731.0,2.1,NE,731.0
785.0,2.1,NE,785.0
884.0,2.1,NE,884.0
700.0,2.1,NE,700.0
1233.0,2.0,MA,1233.0
1545.0,2.0,MA,1545.0
1450.0,2.0,MA,1450.0
1526.0,2.0,MA,1526.0
1451.0,2.0,MA,1451.0
1480.0,2.0,MA,1480.0
1533.0,2.0,MA,1533.0
1790.0,2.0,MA,1790.0
1561.0,2.0,MA,1561.0
1741.0,2.0,MA,1741.0
1451.25836447,2.0,MA,1451.25836447
1157.27241334,2.0,MA,1157.27241334
612.0,2.3,SE,612.0
618.0,2.3,SE,618.0
550.0,2.3,SE,550.0
604.0,2.3,SE,604.0
752.0,2.3,SE,752.0
631.0,2.3,SE,631.0
626.0,2.3,SE,626.0
698.0,2.3,SE,698.0
619.0,2.3,SE,619.0
610.0,2.3,SE,610.0
598.0,2.3,SE,598.0
633.0,2.3,SE,633.0
1053.0,2.35,MW,1053.0
999.108278631,2.35,MW,999.108278631
938.754592501,2.35,MW,938.754592501
1108.0,2.35,MW,1108.0
1051.0,2.35,MW,1051.0
954.0,2.35,MW,954.0
855.0,2.35,MW,855.0
902.0,2.35,MW,902.0
953.0,2.35,MW,953.0
1002.56023381,2.35,MW,1002.56023381
919.261471306,2.35,MW,919.261471306
387.84559368,2.35,MW,387.84559368
557.0,2.2,DS,557.0
636.727295902,2.2,DS,636.727295902
634.636106319,2.2,DS,634.636106319
616.0,2.2,DS,616.0
616.0,2.2,DS,616.0
608.0,2.2,DS,608.0
695.0,2.2,DS,695.0
494.0,2.2,DS,494.0
673.0,2.2,DS,673.0
638.755847598,2.2,DS,638.755847598
542.007659337,2.2,DS,542.007659337
611.46559636,2.2,DS,611.46559636
101.0,4.0,NW,101.0
109.0,4.0,NW,109.0
98.0,4.0,NW,98.0
96.0,4.0,NW,96.0
114.0,4.0,NW,114.0
145.0,4.0,NW,145.0
122.0,4.0,NW,122.0
137.0,4.0,NW,137.0
122.0,4.0,NW,122.0
103.0,4.0,NW,103.0
123.0,4.0,NW,123.0
122.0,4.0,NW,122.0
364.0,2.75,SW,364.0
311.164425467,2.75,SW,311.164425467
369.409301179,2.75,SW,369.409301179
369.0,2.75,SW,369.0
410.0,2.75,SW,410.0
434.0,2.75,SW,434.0
380.0,2.75,SW,380.0
349.0,2.75,SW,349.0
444.0,2.75,SW,444.0
328.083918597,2.75,SW,328.083918597
365.535656977,2.75,SW,365.535656977
387.9483664,2.75,SW,387.9483664
