demand,price,region,sales
244.588310708,3.6,NE,183.441233031
296.022016899,3.6,NE,296.022016899
326.0,3.6,NE,326.0
304.0,3.6,NE,304.0
297.0,3.6,NE,297.0
368.0,3.6,NE,368.0
301.0,3.6,NE,301.0
336.0,3.6,NE,336.0
388.0,3.6,NE,388.0
410.0,3.6,NE,410.0
386.0,3.6,NE,386.0
386.0,3.6,NE,386.0
595.784606751,3.61,MA,446.838455064
488.907384693,3.61,MA,488.907384693
538.879839015,3.61,MA,538.879839015
538.0,3.61,MA,538.0
669.0,3.61,MA,669.0
631.0,3.61,MA,631.0
696.535730376,3.61,MA,696.535730376
650.0,3.61,MA,650.0
594.0,3.61,MA,594.0
514.0,3.61,MA,514.0
579.513447734,3.61,MA,579.513447734
737.0,3.61,MA,737.0
221.017523702,3.9,SE,165.763142777
207.107991054,3.9,SE,207.107991054
198.0,3.9,SE,198.0
195.0,3.9,SE,195.0
238.0,3.9,SE,238.0
238.0,3.9,SE,238.0
223.0,3.9,SE,223.0
213.0,3.9,SE,213.0
218.0,3.9,SE,218.0
214.0,3.9,SE,214.0
235.0,3.9,SE,235.0
196.0,3.9,SE,196.0
235.519107542,3.9,MW,176.639330656
294.263441614,3.9,MW,294.263441614
273.334779245,3.9,MW,273.334779245
254.712645669,3.9,MW,254.712645669
318.961902712,3.9,MW,318.961902712
325.050333209,3.9,MW,325.050333209
263.191489422,3.9,MW,263.191489422
261.562125672,3.9,MW,261.562125672
331.942899308,3.9,MW,331.942899308
318.612340014,3.9,MW,318.612340014
309.985198167,3.9,MW,309.985198167
297.04152842,3.9,MW,297.04152842
135.056385025,3.9,DS,101.292288768
145.91507839,3.9,DS,145.91507839
152.422696409,3.9,DS,152.422696409
139.614860004,3.9,DS,139.614860004
146.62678185,3.9,DS,146.62678185
142.590318654,3.9,DS,142.590318654
146.420884305,3.9,DS,146.420884305
140.364483729,3.9,DS,140.364483729
140.935065071,3.9,DS,140.935065071
160.461868849,3.9,DS,160.461868849
157.352095459,3.9,DS,157.352095459
152.140969473,3.9,DS,152.140969473
88.3129692362,3.9,NW,66.2347269271
104.0,3.9,NW,104.0
106.0,3.9,NW,106.0
97.0,3.9,NW,97.0
109.0,3.9,NW,109.0
120.0,3.9,NW,120.0
104.0,3.9,NW,104.0
112.0,3.9,NW,112.0
124.0,3.9,NW,124.0
127.0,3.9,NW,127.0
138.0,3.9,NW,138.0
121.0,3.9,NW,121.0
235.869306228,3.9,SW,176.901979671
202.721312529,3.9,SW,202.721312529
231.168220296,3.9,SW,231.168220296
228.700966097,3.9,SW,228.700966097
267.914093228,3.9,SW,267.914093228
225.594972917,3.9,SW,225.594972917
233.857109383,3.9,SW,233.857109383
221.30901538,3.9,SW,221.30901538
227.947660401,3.9,SW,227.947660401
206.509388461,3.9,SW,206.509388461
214.40385995,3.9,SW,214.40385995
223.819117735,3.9,SW,223.819117735
